Mat,Inns,NO,2018_Runs,HS,BF,100,50,4s,6s
10,9,1,134,46,100,0,0,6,8
12,11,2,480,90,275,0,6,39,30
3,3,2,63,46,33,0,0,3,5
15,14,1,370,65,313,0,1,39,5
6,6,0,148,45,118,0,0,13,6
16,16,2,602,100,402,1,3,53,34
16,14,3,316,88,171,0,1,17,31
14,8,2,32,14,38,0,0,2,1
9,8,2,80,19,69,0,0,3,4
9,6,2,96,37,58,0,0,5,8
13,13,1,196,45,161,0,0,13,6
12,4,2,13,7,16,0,0,1,0
6,6,0,127,43,88,0,0,16,6
4,4,1,75,43,48,0,0,1,8
11,11,2,368,104,252,1,3,30,27
16,16,1,491,74,377,0,3,56,18
4,4,3,46,27,26,0,0,3,2
5,4,2,17,11,19,0,0,1,1
9,8,3,131,40,84,0,0,4,10
5,5,0,63,33,41,0,0,7,4
3,3,0,17,15,22,0,0,0,1
4,3,1,26,13,33,0,0,0,1
7,7,0,115,44,99,0,0,11,5
3,3,1,74,26,64,0,0,3,2
12,4,1,50,39,29,0,0,1,4
9,8,4,87,32,81,0,0,2,3
16,16,6,498,52,337,0,2,49,16
16,10,6,141,68,91,0,1,8,10
13,13,0,382,65,276,0,2,32,24
6,6,1,162,67,129,0,1,17,6
6,5,0,85,55,88,0,1,8,1
12,12,0,169,47,120,0,0,14,9
13,3,0,29,19,36,0,0,3,1
13,13,4,260,50,195,0,1,20,11
5,2,1,60,36,33,0,0,1,6
4,4,1,57,32,47,0,0,5,1
14,12,0,275,62,184,0,2,22,17
5,5,1,120,91,94,0,1,9,7
15,7,3,49,26,38,0,0,6,1
10,8,3,15,8,21,0,0,2,0
13,13,3,548,95,353,0,5,52,21
6,4,3,36,23,40,0,0,3,1
17,17,3,735,84,516,0,8,64,28
13,12,0,301,54,221,0,2,23,13
1,1,1,24,24,22,0,0,1,2
9,8,1,133,50,100,0,1,10,7
14,14,2,659,95,416,0,6,66,32
15,13,4,126,33,64,0,0,9,9
14,13,3,228,41,157,0,0,22,10
2,2,1,20,11,21,0,0,1,0
4,4,0,55,45,47,0,0,2,4
14,13,3,252,47,186,0,0,16,11
15,13,2,284,62,246,0,3,22,5
5,4,1,47,35,44,0,0,4,1
7,7,3,99,29,76,0,0,6,4
11,11,1,120,30,94,0,0,9,5
14,6,4,21,7,24,0,0,2,0
6,2,2,16,12,11,0,0,2,0
5,4,0,77,65,46,0,1,4,6
2,2,0,18,14,12,0,0,3,0
11,4,2,25,14,22,0,0,2,1
16,15,9,455,79,302,0,3,24,30
15,15,2,304,59,232,0,1,26,14
6,6,1,153,53,109,0,1,20,4
15,7,3,27,12,34,0,0,1,1
9,9,0,245,65,160,0,2,27,10
8,8,0,201,53,162,0,1,20,8
8,5,2,50,24,43,0,0,5,1
12,12,3,226,80,167,0,1,18,8
17,7,2,59,34,31,0,0,3,6
14,9,1,102,45,71,0,0,7,5
16,10,5,89,27,74,0,0,3,4
4,4,0,29,16,31,0,0,4,0
14,14,1,684,128,394,1,5,68,37
16,16,0,351,54,265,0,1,30,21
14,14,2,286,94,215,0,2,25,12
10,8,0,108,56,78,0,1,8,5
15,15,1,441,92,320,0,3,30,19
7,6,1,51,22,41,0,0,7,1
17,13,2,239,35,197,0,0,26,5
15,15,1,555,117,359,2,2,44,35
13,1,1,15,15,5,0,0,3,0
16,16,3,497,92,363,0,4,59,14
9,4,1,13,7,15,0,0,1,0
6,3,0,52,35,40,0,0,6,1
11,4,1,50,24,45,0,0,5,0
14,14,3,411,93,310,0,4,29,21
13,11,5,203,57,139,0,1,22,5
7,5,0,44,22,39,0,0,2,2
16,16,0,357,75,188,0,2,40,23
15,15,3,445,75,336,0,4,46,12
14,14,0,512,72,384,0,4,61,16
8,4,2,52,36,46,0,0,5,1
5,4,1,23,18,28,0,0,3,0
13,11,7,212,54,148,0,1,11,11
14,14,3,530,92,381,0,4,52,18
7,6,3,65,35,38,0,0,5,4
11,10,2,122,35,102,0,0,17,1
15,13,4,260,45,200,0,0,22,11
8,6,0,65,20,73,0,0,6,2
